Test,MarginalBenefit
NonOverlappingTemplate10,0.0009599999999999609
NonOverlappingTemplate110,0.0009599999999999609
NonOverlappingTemplate72,0.0009599999999999609
NonOverlappingTemplate21,0.0009599999999999609
NonOverlappingTemplate132,0.0009599999999999609
NonOverlappingTemplate4,0.0009599999999999609
NonOverlappingTemplate64,0.0009500000000000064
NonOverlappingTemplate127,0.0009500000000000064
NonOverlappingTemplate125,0.0009500000000000064
NonOverlappingTemplate77,0.0009500000000000064
NonOverlappingTemplate6,0.0009500000000000064
NonOverlappingTemplate15,0.0009399999999999409
NonOverlappingTemplate68,0.0009399999999999409
NonOverlappingTemplate104,0.0009399999999999409
NonOverlappingTemplate81,0.0009299999999999864
NonOverlappingTemplate99,0.0009299999999999864
NonOverlappingTemplate136,0.0009199999999999209
